16:38:41.008 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:50.101 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:50.102 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0x00
16:38:50.126 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:50.127 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0x00
16:38:55.836 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:55.837 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:55.861 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:55.862 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:39:04.605 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:39:04.606 INFO [Device.cpp:139                ] << SWITCH_BINARY_REPORT: node=12 value=0xFF
16:39:15.125 INFO [Node.h:352                    ] EnqueueJob: 1
16:39:15.154 INFO [Node.h:398                    ] Job peeked: 1
16:39:15.154 INFO [Device.cpp:400                ] >> ASSOCIATION_GROUPINGS_GET: node 12
16:39:15.154 INFO [Node.h:600                    ] >> ASSOCIATION_GROUP_INFO_GET: node 12
16:39:15.220 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:39:15.262 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
